Airport,namethe,fourth,quarter,,,,,,
of,2023the,fourth,quarter,,,,,,
of,2022dynamics,,,,,,,,
2023/2022,,,,,,,,,
Warsaw,Chopin,Airport,28,155,897,25,101,082,"12,2%"
Katowice,-,Pyrzowice*,8,014,329,7,686,307,"4,3%"
Rzeszow,-,Jasionka,7,272,541,15,500,451,"-53,1%"
Gdansk,Lech,Walesa,2,455,848,2,429,108,"1,1%"
Wroclaw,-,Strachowice,586,743,570,206,"2,9%",,
Poznan,-,Lawica,12,019,4,253,"182,6%",,
Lublin,753,0,-,,,,,,
Lodz,0,616,"-100,0%",,,,,,
Szczecin,-,Goleniow,0,177,"-100,0%",,,,
Bydgoszcz,0,0,-,,,,,,
Krakow,-,Balice,0,0,-,,,,
Warsaw,-,Radom,Airport,0,0,-,,,
Olsztyn-Mazury,0,0,-,,,,,,
Warsaw/Modlin,0,0,-,,,,,,
Zielona,Gora,-,Babimost,0,0,-,,,
Total,46,498,131,51,292,200,"-9,3%",,
